Ken,gdpr recital,bdpr recital,similarity
,"regulation pursuant to article 3 in order to provide appropriate safeguards within the framework of personal data transfers to third countries or international organisations under the terms referred to in point (e) of article 46(2). such controllers or processors shall make binding and enforceable commitments, via contractual or other legally binding instruments, to apply those appropriate safeguards including with regard to the rights of data subjects.","§3 when the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in art. 18 of this law.",0.893583479
,the transfer is necessary for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and another natural or legal person;,"– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.893172095
,public security;,public safety;,0.89256755
,paragraphs 1 to 4 shall not apply where and insofar as:,"§4 controllers shall not condition the participation of data subjects, as referred to in",0.892344133
,any person who has suffered material or non-material damage as a result of an infringement of this regulation shall have the right to receive compensation from the controller or processor for the damage suffered.,"§4 anyone who pays compensation for damages to the data subject has the right to demand compensation from the other liable parties, to the extent of their participation in the damaging event.",0.891761078
,"where a controller or processor has, in accordance with paragraph 4, paid full compensation for the damage suffered, that controller or processor shall be entitled to claim back from the other controllers or processors involved in the same processing that part of the compensation corresponding to their part of responsibility for the damage, in accordance with the conditions set out in paragraph 2.","§4 anyone who pays compensation for damages to the data subject has the right to demand compensation from the other liable parties, to the extent of their participation in the damaging event.",0.891671198
,"in exercising his or her right to data portability pursuant to paragraph 1, the data subject shall have the right to have the personal data transmitted directly from one controller to another, where technically feasible.",§1 personal data shall be stored in a format that facilitates the exercise of the right to,0.889874228
,for compliance with a legal obligation which requires processing by union or member state law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;,– for compliance with a legal or regulatory obligation by the controller;,0.889530739
,"that assessment provided suitable safeguards with regard to the protection of personal data. the controller shall inform the supervisory authority of the transfer. the controller shall, in addition to providing the information referred to in articles 13 and 14, inform the data subject of the transfer and on the compelling legitimate interests pursued.","§3 when the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in art. 18 of this law.",0.888429298
,any controller involved in processing shall be liable for the damage caused by processing which infringes this regulation. a processor shall be liable for the damage caused by processing only where it has not complied with obligations of this regulation specifically directed to processors or where it has acted outside or contrary to lawful instructions of the controller.,"– processors are jointly liable for damages caused by the processing when they do not comply with the obligations of data protection legislation or when they have not followed controller’s lawful instructions. in this last case, the processor is deemed equivalent to the controller, save from cases of exclusion as provided in art. 43 of this law;",0.888384252
,"in assessing the appropriate level of security account shall be taken in particular of the risks that are presented by processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to personal data transmitted, stored or otherwise processed.","§1 the provisions of this article apply to any processing of personal data that reveals sensitive personal data and that may cause harm to the data subject, subject to the provisions of specific legislation.",0.888325601
,"the data protection officer shall in the performance of his or her tasks have due regard to the risk associated with processing operations, taking into account the nature, scope, context and purposes of processing.","must contain at least a description of the types of data collected, the methodology used for collection and for ensuring the security of the information, and the analysis of the controller regarding the adopted measures, safeguards and mechanisms of risk mitigation.",0.88806675
,"where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data. a single assessment may address a set of similar processing operations that present similar high risks.","– to amend regulations and procedures on the protection of personal data and privacy, as well as on data protection impact assessment reports in cases in which the processing represents a high risk to the guarantee of the general principles of personal data protection foreseen in this law;",0.887021277
,"issue guidelines, recommendations and best practices in accordance with point (e) of this paragraph as to the circumstances in which a personal data breach is likely to result in a high risk to the rights and freedoms of the natural persons referred to in article 34(1).","– to amend regulations and procedures on the protection of personal data and privacy, as well as on data protection impact assessment reports in cases in which the processing represents a high risk to the guarantee of the general principles of personal data protection foreseen in this law;",0.886049529
,"processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.","– when necessary to fulfill the legitimate interests of the controller or a third party, except when the data subject’s fundamental rights and liberties which require personal data protection prevail; or",0.885482757
,"provide international mutual assistance in the enforcement of legislation for the protection of personal data, including through notification, complaint referral, investigative assistance and information exchange, subject to appropriate safeguards for the protection of personal data and other fundamental rights and freedoms;",– to promote and elaborate studies on national and international practices for the protection of personal data and privacy;,0.88492673
,"by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.",activities of investigation and prosecution of criminal offenses; or,0.882253773
,the controller shall provide the information referred to in paragraphs 1 and 2:,§2 the assessment of the transformation referred in the §1 of this article shall occur,0.882171534
,"monitor relevant developments, insofar as they have an impact on the protection of personal data, in particular the development of information and communication technologies and commercial practices;","– to stimulate the adoption of standards for services and products that facilitate the control of data subjects regarding their personal data, which should take into account the specificities of the activities and the size of those responsible;",0.882075887
,point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.,"§4 controllers shall not condition the participation of data subjects, as referred to in",0.881133364
,processing relates to personal data which are manifestly made public by the data subject;,– the techniques for processing personal data available at the time it was carried,0.8811043
,the measures and safeguards provided to protect the rights and freedoms of data subjects pursuant to this regulation;,– the compliance with the general principles of personal data protection and data subjects’ rights as provided in this law;,0.879995346
,the term of office of the chair and of the deputy chairs shall be five years and be renewable once.,"§4 the term of the first members of the board of directors will be of two, three, four, five and six years, as provided for in the appointment.",0.879860808
,"taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:","§1 when establishing rules of good practices, the controller and the processor shall take into consideration, regarding the processing and the data, the nature, scope, purpose and probability and seriousness of the risks and the benefits that will result from the processing of the data subject’s data.",0.878086481
,"the controller shall document any personal data breaches, comprising the facts relating to the personal data breach, its effects and the remedial action taken. that documentation shall enable the supervisory authority to verify compliance with this article.","– data protection impact assessment1 : documentation from the controller that contains the description concerning the proceedings of the personal data processing that could pose risks to civil liberties and fundamental rights, as well as measures, safeguards and mechanisms to mitigate said risk;",0.877688658
,"the identity and the contact details of the controller and, where applicable, of the controller's representative;",– the controller’s contact information;,0.877223868
,compliance with the request would infringe this regulation or union or member state law to which the supervisory authority receiving the request is subject.,– determination by the national authority when there has been a violation of the provisions of this law.,0.876985187
,is based on the data subject's explicit consent.,– with the consent of the data subject;,0.876585558
,"the performance of the tasks of each supervisory authority shall be free of charge for the data subject and, where applicable, for the data protection officer.","– free access: guarantee to the data subjects of facilitated and free of charge consultation about the form and duration of the processing, as well as about the integrity of their personal data;",0.875858914
,"‘filing system’ means any structured set of personal data which are accessible according to specific criteria, whether centralised, decentralised or dispersed on a functional or geographical basis;","– processing: any operation carried out with personal data, such as collection, production, receipt, classification, use, access, reproduction, transmission, distribution, processing, filing, storage, deletion, evaluation or control of the information, modification, communication, transfer, dissemination or extraction;",0.875233924
,"paragraphs 1, 2 and 3 shall not apply where and insofar as the data subject already has the information.",§3 it is prohibited to process personal data if the consent is defective.,0.874997768
,"where personal data are transferred to a third country or to an international organisation, the data subject shall have the right to be informed of the appropriate safeguards pursuant to article 46 relating to the transfer.","§3 when the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in art. 18 of this law.",0.874960324
,"decisions referred to in paragraph 2 shall not be based on special categories of personal data referred to in article 9(1), unless point (a) or (g) of article 9(2) applies and suitable measures to safeguard the data subject's rights and freedoms and legitimate interests are in place.","§6 any eventual waiver of the consent requirement does not release processing agents from the other obligations provided in this law, especially that of obeying the general principles and guarantees of the data subject’s rights.",0.874311121
,"the controller has implemented appropriate technical and organisational protection measures, and those measures were applied to the personal data affected by the personal data breach, in particular those that render the personal data unintelligible to any person who is not authorised to access it, such as encryption;","ensuring the prevention of fraud and the safety of the data subject, in processes of identification and authentication of registration in electronic systems, respecting the rights mentioned in art. 9 of this law and except when fundamental rights and liberties of the data subject which require protection of personal data prevail.",0.873434742
,"the data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:","§3 when the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in art. 18 of this law.",0.872629365
,"the purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller. that legal basis may contain specific provisions to adapt the application of rules of this regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for in chapter ix. the union or the member state law shall meet an objective of public interest and be proportionate to the legitimate aim pursued.","§1 processing of personal data as provided in item iii shall be governed by specific legislation, which shall provide proportional and strictly necessary measures for fulfilling the public interest, subject to due legal process, the general principles of protection and the rights of the data subjects as provided in this law.",0.872263538
,"advise the commission on any issue related to the protection of personal data in the union, including on any proposed amendment of this regulation;","– to request, at any time, that entities of the public authority carry out operations of processing of personal data to give specific report about the scope and nature of the data and other details of the processing, and may issue complementary technical opinion to ensure compliance with this law;",0.872181841
,processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;,– when the transfer is necessary for the execution of a public policy or legal,0.871622722
,this article shall not apply to processing carried out by public authorities and bodies.,"§4 controllers shall not condition the participation of data subjects, as referred to in",0.871392017
,"the provision of such information proves impossible or would involve a disproportionate effort, in particular for processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in article 89(1) or in so far as the obligation referred to in paragraph 1 of this article is likely to render impossible or seriously impair the achievement of the objectives of that processing. in such cases the controller shall take appropriate measures to protect the data subject's rights and freedoms and legitimate interests, including making the information publicly available;","§1 in situations where consent is required, it shall be considered void if the information provided to the data subject contains misleading or abusive content or was not previously presented in a transparent, clear and unambiguous way.",0.870577389
,"where proportionate in relation to processing activities, the measures referred to in paragraph 1 shall include the implementation of appropriate data protection policies by the controller.","must contain at least a description of the types of data collected, the methodology used for collection and for ensuring the security of the information, and the analysis of the controller regarding the adopted measures, safeguards and mechanisms of risk mitigation.",0.870397333
,develop international cooperation mechanisms to facilitate the effective enforcement of legislation for the protection of personal data;,– to promote and elaborate studies on national and international practices for the protection of personal data and privacy;,0.870237646
,"where processing has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed with the data subject's consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the union or of a member state.","§1 when processing is based on the controller’s legitimate interest, only the personal data which are strictly necessary for the intended purpose may be processed.",0.870123697
,"taking into account the nature of the processing, assists the controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the controller's obligation to respond to requests for exercising the data subject's rights laid down in chapter iii;","§1 when establishing rules of good practices, the controller and the processor shall take into consideration, regarding the processing and the data, the nature, scope, purpose and probability and seriousness of the risks and the benefits that will result from the processing of the data subject’s data.",0.869727754
,the data subject has objected to processing pursuant to article 21(1) pending the verification whether the legitimate grounds of the controller override those of the data subject.,"§2 the data subject may oppose the processing carried out based on one of the situations of waiver of consent, if there is noncompliance with the provisions of this law.",0.869374824
,"where necessary, the controller shall carry out a review to assess if processing is performed in accordance with the data protection impact assessment at least when there is a change of the risk represented by processing operations.","must contain at least a description of the types of data collected, the methodology used for collection and for ensuring the security of the information, and the analysis of the controller regarding the adopted measures, safeguards and mechanisms of risk mitigation.",0.869329108
,"those rules shall include suitable and specific measures to safeguard the data subject's human dignity, legitimate interests and fundamental rights, with particular regard to the transparency of processing, the transfer of personal data within a group of undertakings, or a group of enterprises engaged in a joint economic activity and monitoring systems at the work place.","§3 the anpd and other public bodies and entities responsible for regulating specific sectors of economic and governmental activity shall coordinate their activities, in their respective spheres of action, in order to ensure the fulfillment of their duties efficiently and to promote the adequate functioning of regulated sectors, according to specific and sectoral legislation, and the processing of personal data, in conformity with this law.",0.869181448
,"processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with article 89(1) based on union or member state law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.","§1 processing of personal data as provided in item iii shall be governed by specific legislation, which shall provide proportional and strictly necessary measures for fulfilling the public interest, subject to due legal process, the general principles of protection and the rights of the data subjects as provided in this law.",0.8691284
,"the exercise by the supervisory authority of its powers under this article shall be subject to appropriate procedural safeguards in accordance with union and member state law, including effective judicial remedy and due process.","requirements, conditions and minimum guarantees for the transfer that are in accordance with the rights, guarantees and principles of this law.",0.868761003
,the categories of personal data concerned;,i – a description of the nature of the affected personal data; ii – information on the data subjects involved;,0.868652754
,"in the cases referred to in points (a) and (c) of paragraph 2, the data controller shall implement suitable measures to safeguard the data subject's rights and freedoms and legitimate interests, at least the right to obtain human intervention on the part of the controller, to express his or her point of view and to contest the decision.","§2 the national authority shall verify the seriousness of the incident if necessary to safeguard the data subjects’ rights, it may order the controller to adopt measures, such as:",0.868571106
,"without prejudice to requests by the commission referred to in point (b) of article 70(1) and in article 70(2), the board shall, in the performance of its tasks or the exercise of its powers, neither seek nor take instructions from anybody.","§1 disclosure of the results or of any portion of the study or the research, as mentioned in the lead sentence of this article, shall under no circumstances reveal personal data.",0.868490125
,"when assessing the adequacy of the level of protection, the commission shall, in particular, take account of the following elements:","must contain at least a description of the types of data collected, the methodology used for collection and for ensuring the security of the information, and the analysis of the controller regarding the adopted measures, safeguards and mechanisms of risk mitigation.",0.868297475
,"the lead supervisory authority and the other supervisory authorities concerned shall supply the information required under this article to each other by electronic means, using a standardised format.",§5o notarial and registry bodies shall provide access to data by electronic means to the public administration in order to fulfill the purposes mentioned in the lead sentence of this,0.867815652
,"the requested supervisory authority shall inform the requesting supervisory authority of the results or, as the case may be, of the progress of the measures taken in order to respond to the request. the requested supervisory authority shall provide reasons for any refusal to comply with a request pursuant to paragraph 4.","§4 if it is impossible to immediately adopt the measure mentioned in §3 of this article, the controller shall send a reply to the data subject in which she/he may:",0.867695195
,"the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller;",i – a description of the nature of the affected personal data; ii – information on the data subjects involved;,0.867325376
,"for the purpose of paragraph 1, the commission may request information from member states and supervisory authorities.",§1 the national authority may provide for the forms of disclosing information on data processing operations.,0.867227757
,"the commission may, by means of implementing acts, specify the format and procedures for mutual assistance referred to in this article and the arrangements for the exchange of information by electronic means between supervisory authorities, and between supervisory authorities and the board, in particular the standardised format referred to in paragraph 6 of this article. those implementing acts shall be adopted in accordance with the examination procedure referred to in article 93(2).","§6 complaints collected in accordance with the provisions set forth in item v of the lead sentence of this article may be analyzed in an aggregate manner and any measures arising therefrom may be adopted in a standardized manner. (included by law no. 13,853/2019)",0.867105021
,"points (a), (b) and (c) of the first subparagraph of paragraph 1 and the second subparagraph thereof shall not apply to activities carried out by public authorities in the exercise of their public powers.","§4 controllers shall not condition the participation of data subjects, as referred to in",0.866964215
,to order the controller or the processor to comply with the data subject's requests to exercise his or her rights pursuant to this regulation;,"– when the controller offers and proves guarantees of compliance with the principles and the rights of the data subject and the regime of data protection provided in this law, in the form of:",0.866675699
,the specification of the controller or categories of controllers;,– identification of the controller;,0.864885589
,"promote the exchange and documentation of personal data protection legislation and practice, including on jurisdictional conflicts with third countries.","§3 the national authority may provide for standards and techniques to be used in processes of anonymization, and carry out security checks, with opinions from the national board for the protection of personal data.",0.864770848
,any link between the purposes for which the personal data have been collected and the purposes of the intended further processing;,– the techniques for processing personal data available at the time it was carried,0.864709111
,"in addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:","– to request, at any time, that entities of the public authority carry out operations of processing of personal data to give specific report about the scope and nature of the data and other details of the processing, and may issue complementary technical opinion to ensure compliance with this law;",0.864060538
,"where personal data are processed for archiving purposes in the public interest, union or member state law may provide for derogations from the rights referred to in articles 15, 16, 18, 19, 20 and 21 subject to the conditions and safeguards referred to in paragraph 1 of this article in so far as such rights are likely to render impossible or seriously impair the achievement of the specific purposes, and such derogations are necessary for the fulfilment of those purposes.","– to amend regulations and procedures on the protection of personal data and privacy, as well as on data protection impact assessment reports in cases in which the processing represents a high risk to the guarantee of the general principles of personal data protection foreseen in this law;",0.86384639
,this regulation does not apply to the processing of personal data:,"§4 controllers shall not condition the participation of data subjects, as referred to in",0.863718121
,"‘third party’ means a natural or legal person, public authority, agency or body other than the data subject, controller, processor and persons who, under the direct authority of the controller or processor, are authorised to process personal data;",– processor: natural person or legal entity of either public or private law that processes personal data in the name of the controller;,0.863650569
,(b) of paragraph 2 of this article. the implementing act shall be adopted in accordance with the examination procedure referred to in article 93(2).,§2 the assessment of the transformation referred in the §1 of this article shall occur,0.862916752
,‘supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal data because:,– the techniques for processing personal data available at the time it was carried,0.862850769
,"describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned;","§1 the provisions of this article apply to any processing of personal data that reveals sensitive personal data and that may cause harm to the data subject, subject to the provisions of specific legislation.",0.862172208
,processing is necessary in order to protect the vital interests of the data subject or of another natural person;,– when the transfer is necessary to protect the life or physical safety of the data subject or of a third party;,0.862084232
,to impose a temporary or definitive limitation including a ban on processing;,"– blocking: temporary suspension of any processing operation, by means of",0.862052619
,"in addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:",§2 the controller shall adopt measures to ensure transparency of data processing based on her/his legitimate interests.,0.861968446
,the commission shall be empowered to adopt delegated acts in accordance with article 92 for the purpose of specifying the requirements to be taken into account for the data protection certification mechanisms referred to in article 42(1).,"§3 the national authority shall issue technical opinions or recommendations regarding the exceptions provided in item iii of the lead sentence of this article, and shall request of the responsible parties a data protection impact assessment.",0.861865057
,"‘controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; where the purposes and means of such processing are determined by union or member state law, the controller or the specific criteria for its nomination may be provided for by union or member state law;",– controller: natural person or legal entity of either public or private law in charge of making the decisions regarding the processing of personal data;,0.861557305
,"the data protection officer shall be bound by secrecy or confidentiality concerning the performance of his or her tasks, in accordance with union or member state law.","– an indication of the technical and security measures used to protect the data, subject to commercial and industrial secrecy;",0.861198026
,"the controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child, taking into consideration available technology.",§1 the processing of children’s personal data shall be done with specific and highlighted consent given by at least one of the parents or the legal representative.,0.861186786
,"to monitor compliance with this regulation, with other union or member state data protection provisions and with the policies of the controller or processor in relation to the protection of personal data, including the assignment of responsibilities, awareness-raising and training of staff involved in processing operations, and the related audits;",– orienting entity’s employees and contractors regarding practices to be taken in relation to personal data protection; and,0.860699838
,"supervisory authorities shall provide each other with relevant information and mutual assistance in order to implement and apply this regulation in a consistent manner, and shall put in place measures for effective cooperation with one another. mutual assistance shall cover, in particular, information requests and supervisory measures, such as requests to carry out prior authorisations and consultations, inspections and investigations.","§3 the anpd and other public bodies and entities responsible for regulating specific sectors of economic and governmental activity shall coordinate their activities, in their respective spheres of action, in order to ensure the fulfillment of their duties efficiently and to promote the adequate functioning of regulated sectors, according to specific and sectoral legislation, and the processing of personal data, in conformity with this law.",0.860644842
