chapter,clause,recital
CHAPTER I PRELIMINARY,undefined,"""prescribed"" means prescribed by rules made under this Act;"
CHAPTER I PRELIMINARY,undefined,"""processing"" in relation to personal data, means an operation or set of operations performed on personal data, and may include operations such as collection, recording, organisation, structuring, storage, adaptation, alteration, retrieval, use,	45"
CHAPTER I PRELIMINARY,undefined,"alignment or combination, indexing, disclosure by transmission, dissemination or otherwise making available, restriction, erasure or destruction;"
CHAPTER I PRELIMINARY,undefined,"""profiling"" means any form of processing of personal data that analyses or predicts aspects concerning the behaviour, attributes or interests of a data principal;"
CHAPTER I PRELIMINARY,undefined,"""regulations"" means the regulations made by the Authority under this Act;"
CHAPTER I PRELIMINARY,undefined,"""re-identification"" means the process by which a data fiduciary or data"
CHAPTER I PRELIMINARY,undefined,processor may reverse a process of de-identification;
CHAPTER I PRELIMINARY,undefined,"""Schedule"" means the Schedule appended to this Act;"
CHAPTER I PRELIMINARY,undefined,"""sensitive personal data"" means such personal data, which may, reveal, be related to, or constitute—"
CHAPTER I PRELIMINARY,undefined,financial data;
CHAPTER I PRELIMINARY,undefined,(ii) health data;
CHAPTER I PRELIMINARY,undefined,official identifier;
CHAPTER I PRELIMINARY,undefined,sex life;
CHAPTER I PRELIMINARY,undefined,sexual orientation;
CHAPTER I PRELIMINARY,undefined,biometric data;
CHAPTER I PRELIMINARY,undefined,(vii) genetic data;
CHAPTER I PRELIMINARY,undefined,transgender status;
CHAPTER I PRELIMINARY,undefined,intersex status;
CHAPTER I PRELIMINARY,undefined,caste or tribe;
CHAPTER I PRELIMINARY,undefined,religious or political belief or affiliation; or
CHAPTER I PRELIMINARY,undefined,(xii) any other data categorised as sensitive personal data under section 15.
CHAPTER I PRELIMINARY,undefined,"Explanation.— For the purposes of this clause, the expressions,—"
CHAPTER I PRELIMINARY,undefined,"""intersex status"" means the condition of a data principal who is—"
CHAPTER I PRELIMINARY,undefined,a combination of female or male;
CHAPTER I PRELIMINARY,undefined,neither wholly female nor wholly male; or
CHAPTER I PRELIMINARY,undefined,(iii) neither female nor male;
CHAPTER I PRELIMINARY,undefined,"""transgender status"" means the condition of a data principal whose sense of gender does not match with the gender assigned to that data principal at birth, whether or not they have undergone sex reassignment surgery, hormone therapy, laser therapy, or any other similar medical procedure;"
CHAPTER I PRELIMINARY,undefined,"(37) ""significant data fiduciary"" means a data fiduciary classified as such under sub-section (1) of section 26;"
CHAPTER I PRELIMINARY,undefined,"(38) ""significant harm"" means harm that has an aggravated effect having regard to the nature of the personal data being processed, the impact, continuity, persistence or irreversibility of the harm;"
CHAPTER I PRELIMINARY,undefined,"(39) ""State"" means the State as defined under article 12 of the Constitution;"
CHAPTER I PRELIMINARY,undefined,"(40) ""systematic activity"" means any structured or organised activity that involves an element of planning, method, continuity or persistence."
CHAPTER I PRELIMINARY,undefined,Prohibition of processing of personal data.
CHAPTER I PRELIMINARY,undefined,Limitation on purpose of processing of personal data.
CHAPTER I PRELIMINARY,undefined,Limitation on collection of personal data.
CHAPTER I PRELIMINARY,undefined,Requirement of notice for collection or processing of personal data.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"No personal data shall be processed by any person, except for any specific, clear and lawful purpose."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,Every person processing personal data of a data principal shall process such personal 5
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,in a fair and reasonable manner and ensure the privacy of the data principal;
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,for the purpose consented to by the data principal or which is incidental to
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"or connected with such purpose, and which the data principal would reasonably 10"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"expect that such personal data shall be used for, having regard to the purpose, and in the context and circumstances in which the personal data was collected."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,The personal data shall be collected only to the extent that is necessary for the purposes of processing of such personal data.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"(1) Every data fiduciary shall give to the data principal a notice, at the time of 15"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"collection of the personal data, or if the data is not collected from the data principal, as soon as reasonably practicable, containing the following information, namely:—"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,the purposes for which the personal data is to be processed;
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,the nature and categories of personal data being collected;
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,the identity and contact details of the data fiduciary and the contact details 20
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"of the data protection officer, if applicable;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"the right of the data principal to withdraw his consent, and the procedure for such withdrawal, if the personal data is intended to be processed on the basis of consent;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"the basis for such processing, and the consequences of the failure to provide 25 such personal data, if the processing of the personal data is based on the grounds specified in sections 12 to 14;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"( f ) the source of such collection, if the personal data is not collected from the data principal;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"the individuals or entities including other data fiduciaries or data processors, 30"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"with whom such personal data may be shared, if applicable;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"information regarding any cross-border transfer of the personal data that the data fiduciary intends to carry out, if applicable;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,the period for which the personal data shall be retained in terms of section 9
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"or where such period is not known, the criteria for determining such period;	35"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,( j) the existence of and procedure for the exercise of rights mentioned in Chapter V and any related contact details for the same;
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,the procedure for grievance redressal under section 32;
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,the existence of a right to file complaints to the Authority;
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"where applicable, any rating in the form of a data trust score that  may be	40"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,assigned to the data fiduciary under sub-section (5) of section 29; and
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,any other information as may be specified by the regulations.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"The notice referred to in sub-section (1) shall be clear, concise and easily comprehensible to a reasonable person and in multiple languages where necessary and practicable."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,The provisions of sub-section (1) shall not apply where such notice substantially prejudices the purpose of processing of personal data under section 12.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"(1) The data fiduciary shall take necessary steps to ensure that the personal data processed is complete, accurate, not misleading and updated, having regard to the purpose for which it is processed."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"While taking any steps under sub-section (1), the data fiduciary shall have regard to whether the personal data—"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,is likely to be used to make a decision about the data principal;
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,is likely to be disclosed to other individuals or entities including other data fiduciaries or processors; or
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,is kept in a form that distinguishes personal data based on facts from personal data based on opinions or personal assessments.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"Where personal data is disclosed to any other individual or entity, including other data fiduciary or processor, and the data fiduciary finds that such data does not comply with the requirement of sub-section (1), the data fiduciary shall take reasonable steps to notify such individual or entity of this fact."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,(1) The data fiduciary shall not retain any personal data beyond the period necessary to satisfy the purpose for which it is processed and shall delete the personal data at the end of the processing.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"Notwithstanding anything contained in sub-section (1), the personal data may be retained for a longer period if explicitly consented to by the data principal, or necessary to comply with any obligation under any law for the time being in force."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,The data fiduciary shall undertake periodic review to determine whether it is necessary to retain the personal data in its possession.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"Where it is not necessary for personal data to be retained by the data fiduciary under sub-section (1) or sub-section (2), then, such personal data shall be deleted in such manner as may be specified by regulations."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,The data fiduciary shall be responsible for complying with the provisions of this Act in respect of any processing undertaken by it or on its behalf.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"(1) The personal data shall not be processed, except on the consent given by the data principal at the commencement of its processing."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"The consent of the data principal shall not be valid, unless such consent is—"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"free, having regard to whether it complies with the standard specified under section 14 of the Indian Contract Act, 1872;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"informed, having regard to whether the data principal has been provided with the information required under section 7;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"specific, having regard to whether the data principal can determine the scope of consent in respect of the purpose of processing;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"clear, having regard to whether it is indicated through an affirmative action that is meaningful in a given context; and"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"capable of being withdrawn, having regard to whether the ease of such withdrawal is comparable to the ease with which consent may be given."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,Quality of personal data processed.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,Restriction on retention of personal data.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,Accountability of data fiduciary.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,Consent necessary for processing of personal data.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"In addition to the provisions contained in sub-section (2), the consent of the data principal in respect of processing of any sensitive personal data shall be explicitly obtained—"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"after informing him the purpose of, or operation in, processing which is likely to cause significant harm to the data principal;"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,in clear terms without recourse to inference from conduct in a context; and	5
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"after giving him the choice of separately consenting to the purposes of, operations in, the use of different categories of, sensitive personal data relevant to processing."
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"The provision of any goods or services or the quality thereof, or the performance"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"of any contract, or the enjoyment of any legal right or claim, shall not be made conditional on 10"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,the consent to the processing of any personal data not necessary for that purpose.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,The burden of proof that the consent has been given by the data principal for processing of the personal data under this section shall be on the data fiduciary.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,Where the data principal withdraws his consent from the processing of any personal
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"data without any valid reason, all legal consequences for the effects of such withdrawal 15"
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,shall be borne by such data principal.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,Grounds for processing of personal data without
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,consent in certain cases.
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,Processing of personal data necessary for purposes related to
CHAPTER II OBLIGATIONS OF DATA FIDUCIARY,undefined,"employment, etc."
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"Notwithstanding anything contained in section 11, the personal data may be processed if such processing  is necessary,—	20"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,for the performance of any function of the State authorised by law for—
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,the provision of any service or benefit to the data principal from the State; or
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"the issuance of any certification, licence or permit for any action or activity of the data principal by the State;	25"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,under any law for the time being in force made by the Parliament or any State Legislature; or
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,for compliance with any order or judgment of any Court or Tribunal in India;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,to respond to any medical emergency involving a threat to the life or a severe threat to the health of the data principal or any other individual;	30
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"to undertake any measure to provide medical treatment or health services to any individual during an epidemic, outbreak of disease or any other threat to public health; or"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"to undertake any measure to ensure safety of, or provide assistance or services"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"to, any individual during any disaster or any breakdown of public order.	35"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"(1) Notwithstanding anything contained in section 11 and subject to sub-section (2), any personal data, not being any sensitive personal data, may be processed, if such processing is necessary for—"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,recruitment or termination of employment of a data principal by the data fiduciary;		40
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"provision of any service to, or benefit sought by, the data principal who is an employee of the data fiduciary;"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,verifying the attendance of the data principal who is an employee of the data fiduciary; or
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,any other activity relating to the assessment of the performance of the data principal who is an employee of the data fiduciary.
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"(2) Any personal data, not being sensitive personal data, may be processed under sub-section (1), where the consent of the data principal is not appropriate having regard to the employment relationship between the data fiduciary and the data principal, or would involve a disproportionate effort on the part of the data fiduciary due to the nature of the processing under the said sub-section."
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"14. (1) In addition to the grounds referred to under sections 12 and 13, the personal data may be processed without obtaining consent under section 11, if such processing is necessary for such reasonable purposes as may be specified by regulations, after taking into consideration—"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,the interest of the data fiduciary in processing for that purpose;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,(b) whether the data fiduciary can reasonably be expected to obtain the consent of the data principal;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,any public interest in processing for that purpose;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,the effect of the processing activity on the rights of the data principal; and
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,the reasonable expectations of the data principal having regard to the context
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,of the processing.
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"For the purpose of sub-section (1), the expression ""reasonable purposes"" may include—"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,Processing of personal data for other reasonable purposes.
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,prevention and detection of any unlawful activity including fraud;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,whistle blowing;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,(c) mergers and acquisitions;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,network and information security;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,credit scoring;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,recovery of debt;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,processing of publicly available personal data; and
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,(h) the operation of search engines.
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"Where the Authority specifies a reasonable purpose under sub-section (1), it shall—"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"lay down, by regulations, such safeguards as may be appropriate to ensure the protection of the rights of data principals; and"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,(b) determine where the provision of notice under section 7 shall apply or not apply having regard to the fact whether such provision shall substantially prejudice the relevant reasonable purpose.
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"(1) The Central Government shall, in consultation with the Authority and the sectoral regulator concerned, notify such categories of personal data as ""sensitive personal"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"data"", having regard to—"
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,the risk of significant harm that may be caused to the data principal by the processing of such category of personal data;
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,the expectation of confidentiality attached to such category of personal
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,Categorisation of personal data as sensitive personal data.
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,whether a significantly discernible class of data principals may suffer significant harm from the processing of such category of personal data; and
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,the adequacy of protection afforded by ordinary provisions applicable to personal data.
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,"(2) The Authority may specify, by regulations, the additional safeguards or restrictions 5 for the purposes of repeated, continuous or systematic collection of sensitive personal data for profiling of such personal data."
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,Processing of personal data and sensitive personal data of children.
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,Right to
CHAPTER III GROUNDS FOR PROCESSING OF PERSONAL DATA WITHOUT CONSENT,undefined,confirmation and access.
CHAPTER IV PERSONAL DATA AND SENSITIVE PERSONAL DATA OF CHILDREN,undefined,(1) Every data fiduciary shall process personal data of a child in such manner that 10
CHAPTER IV PERSONAL DATA AND SENSITIVE PERSONAL DATA OF CHILDREN,undefined,"protects the rights of, and is in the best interests of, the child."
CHAPTER IV PERSONAL DATA AND SENSITIVE PERSONAL DATA OF CHILDREN,undefined,"The data fiduciary shall, before processing of any personal data of a child, verify his age and obtain the consent of his parent or guardian, in such manner as may be specified by regulations."
CHAPTER IV PERSONAL DATA AND SENSITIVE PERSONAL DATA OF CHILDREN,undefined,The manner for verification of the age of child under sub-section (2) shall be 15
CHAPTER IV PERSONAL DATA AND SENSITIVE PERSONAL DATA OF CHILDREN,undefined,"specified by regulations, taking into consideration—"
CHAPTER IV PERSONAL DATA AND SENSITIVE PERSONAL DATA OF CHILDREN,undefined,the volume of personal data processed;
