chapter,article,recital
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"where the personal data must remain confidential subject to an obligation of professional secrecy regulated by Union or Member State law, including a statutory obligation of secrecy."
Rights of the data subject,Right of access by the data subject,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:"
Rights of the data subject,Right of access by the data subject,the purposes of the processing;
Rights of the data subject,Right of access by the data subject,the categories of personal data concerned;
Rights of the data subject,Right of access by the data subject,"the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;"
Rights of the data subject,Right of access by the data subject,"where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;"
Rights of the data subject,Right of access by the data subject,the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing;
Rights of the data subject,Right of access by the data subject,the right to lodge a complaint with a supervisory authority;
Rights of the data subject,Right of access by the data subject,"where the personal data are not collected from the data subject, any available information as to their source;"
Rights of the data subject,Right of access by the data subject,"the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject."
Rights of the data subject,Right of access by the data subject,"Where personal data are transferred to a third country or to an international organisation, the data subject shall have the right to be informed of the appropriate safeguards pursuant to Article 46 relating to the transfer."
Rights of the data subject,Right of access by the data subject,"The controller shall provide a copy of the personal data undergoing processing. For any further copies requested by the data subject, the controller may charge a reasonable fee based on administrative costs. Where the data subject makes the request by electronic means, and unless otherwise requested by the data subject, the information shall be provided in a commonly used electronic form."
Rights of the data subject,Right of access by the data subject,The right to obtain a copy referred to in paragraph 3 shall not adversely affect the rights and freedoms of others.
Rights of the data subject,Right of access by the data subject,Section 3 Rectification and erasure
Rights of the data subject,Right to rectification,"The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement."
Rights of the data subject,Right to erasure (‘right to be forgotten’),The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:
Rights of the data subject,Right to erasure (‘right to be forgotten’),the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed;
Rights of the data subject,Right to erasure (‘right to be forgotten’),"the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing;"
Rights of the data subject,Right to erasure (‘right to be forgotten’),"the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2);"
Rights of the data subject,Right to erasure (‘right to be forgotten’),the personal data have been unlawfully processed;
Rights of the data subject,Right to erasure (‘right to be forgotten’),the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject;
Rights of the data subject,Right to erasure (‘right to be forgotten’),the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).
Rights of the data subject,Right to erasure (‘right to be forgotten’),"Where the controller has made the personal data public and is obliged pursuant to paragraph 1 to erase the personal data, the controller, taking account of available technology and the cost of implementation, shall take reasonable steps, including technical measures, to inform controllers which are processing the personal data that the data subject has requested the erasure by such controllers of any links to, or copy or replication of, those personal data."
Rights of the data subject,Right to erasure (‘right to be forgotten’),Paragraphs 1 and 2 shall not apply to the extent that processing is necessary:
Rights of the data subject,Right to erasure (‘right to be forgotten’),for exercising the right of freedom of expression and information;
Rights of the data subject,Right to erasure (‘right to be forgotten’),for compliance with a legal obligation which requires processing by Union or Member State law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;
Rights of the data subject,Right to erasure (‘right to be forgotten’),for reasons of public interest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as Article 9(3);
Rights of the data subject,Right to erasure (‘right to be forgotten’),"for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) in so far as the right referred to in paragraph 1 is likely to render impossible or seriously impair the achievement of the objectives of that processing; or"
Rights of the data subject,Right to erasure (‘right to be forgotten’),"for the establishment, exercise or defence of legal claims."
Rights of the data subject,Right to restriction of processing,The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies:
Rights of the data subject,Right to restriction of processing,"the accuracy of the personal data is contested by the data subject, for a period enabling the controller to verify the accuracy of the personal data;"
Rights of the data subject,Right to restriction of processing,the processing is unlawful and the data subject opposes the erasure of the personal data and requests the restriction of their use instead;
Rights of the data subject,Right to restriction of processing,"the controller no longer needs the personal data for the purposes of the processing, but they are required by the data subject for the establishment, exercise or defence of legal claims;"
Rights of the data subject,Right to restriction of processing,the data subject has objected to processing pursuant to Article 21(1) pending the verification whether the legitimate grounds of the controller override those of the data subject.
Rights of the data subject,Right to restriction of processing,"Where processing has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed with the data subject's consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State."
Rights of the data subject,Right to restriction of processing,A data subject who has obtained restriction of processing pursuant to paragraph 1 shall be informed by the controller before the restriction of processing is lifted.
Rights of the data subject,Notification obligation regarding rectification or erasure of personal data or restriction of processing,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it."
Rights of the data subject,Right to data portability,"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where:"
Rights of the data subject,Right to data portability,the processing is based on consent pursuant to point (a) of Article 6(1) or point (a) of Article 9(2) or on a contract pursuant to point (b) of Article 6(1); and
Rights of the data subject,Right to data portability,the processing is carried out by automated means.
Rights of the data subject,Right to data portability,"In exercising his or her right to data portability pursuant to paragraph 1, the data subject shall have the right to have the personal data transmitted directly from one controller to another, where technically feasible."
Rights of the data subject,Right to data portability,The exercise of the right referred to in paragraph 1 of this Article shall be without prejudice to Article 17. That right shall not apply to processing necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.
Rights of the data subject,Right to data portability,The right referred to in paragraph 1 shall not adversely affect the rights and freedoms of others.
Rights of the data subject,Right to data portability,Section 4
Rights of the data subject,Right to data portability,Right to object and automated individual decision-making
Rights of the data subject,Right to object,"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions. The controller shall no longer process the personal data unless the controller demonstrates compelling legitimate grounds for the processing which override the interests, rights and freedoms of the data subject or for the establishment, exercise or defence of legal claims."
Rights of the data subject,Right to object,"Where personal data are processed for direct marketing purposes, the data subject shall have the right to object at any time to processing of personal data concerning him or her for such marketing, which includes profiling to the extent that it is related to such direct marketing."
Rights of the data subject,Right to object,"Where the data subject objects to processing for direct marketing purposes, the personal data shall no longer be processed for such purposes."
Rights of the data subject,Right to object,"At the latest at the time of the first communication with the data subject, the right referred to in paragraphs 1 and 2 shall be explicitly brought to the attention of the data subject and shall be presented clearly and separately from any other information."
Rights of the data subject,Right to object,"In the context of the use of information society services, and notwithstanding Directive 2002/58/EC, the data subject may exercise his or her right to object by automated means using technical specifications."
Rights of the data subject,Right to object,"Where personal data are processed for scientific or historical research purposes or statistical purposes pursuant to Article 89(1), the data subject, on grounds relating to his or her particular situation, shall have the right to object to processing of personal data concerning him or her, unless the processing is necessary for the performance of a task carried out for reasons of public interest."
Rights of the data subject,"Automated individual decision-making, including profiling","The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly significantly affects him or her."
Rights of the data subject,"Automated individual decision-making, including profiling",Paragraph 1 shall not apply if the decision:
Rights of the data subject,"Automated individual decision-making, including profiling","is necessary for entering into, or performance of, a contract between the data subject and a data controller;"
Rights of the data subject,"Automated individual decision-making, including profiling",is authorised by Union or Member State law to which the controller is subject and which also lays down suitable measures to safeguard the data subject's rights and freedoms and legitimate interests; or
Rights of the data subject,"Automated individual decision-making, including profiling",is based on the data subject's explicit consent.
Rights of the data subject,"Automated individual decision-making, including profiling","In the cases referred to in points (a) and (c) of paragraph 2, the data controller shall implement suitable measures to safeguard the data subject's rights and freedoms and legitimate interests, at least the right to obtain human intervention on the part of the controller, to express his or her point of view and to contest the decision."
Rights of the data subject,"Automated individual decision-making, including profiling","Decisions referred to in paragraph 2 shall not be based on special categories of personal data referred to in Article 9(1), unless point (a) or (g) of Article 9(2) applies and suitable measures to safeguard the data subject's rights and freedoms and legitimate interests are in place."
Rights of the data subject,"Automated individual decision-making, including profiling",Section 5 Restrictions
Rights of the data subject,Restrictions,"Union or Member State law to which the data controller or processor is subject may restrict by way of a legislative measure the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5 in so far as its provisions correspond to the rights and obligations provided for in Articles 12 to 22, when such a restriction respects the essence of the fundamental rights and freedoms and is a necessary and proportionate measure in a democratic society to safeguard:"
Rights of the data subject,Restrictions,national security;
Rights of the data subject,Restrictions,defence;
Rights of the data subject,Restrictions,public security;
Rights of the data subject,Restrictions,"the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security;"
Rights of the data subject,Restrictions,"other important objectives of general public interest of the Union or of a Member State, in particular an important economic or financial interest of the Union or of a Member State, including monetary, budgetary and taxation a matters, public health and social security;"
Rights of the data subject,Restrictions,the protection of judicial independence and judicial proceedings;
Rights of the data subject,Restrictions,"the prevention, investigation, detection and prosecution of breaches of ethics for regulated professions;"
Rights of the data subject,Restrictions,"a monitoring, inspection or regulatory function connected, even occasionally, to the exercise of official authority in the cases referred to in points (a) to (e) and (g);"
Rights of the data subject,Restrictions,the protection of the data subject or the rights and freedoms of others;
Rights of the data subject,Restrictions,the enforcement of civil law claims.
Rights of the data subject,Restrictions,"In particular, any legislative measure referred to in paragraph 1 shall contain specific provisions at least, where relevant, as to:"
Rights of the data subject,Restrictions,the purposes of the processing or categories of processing;
Rights of the data subject,Restrictions,the categories of personal data;
Rights of the data subject,Restrictions,the scope of the restrictions introduced;
Rights of the data subject,Restrictions,the safeguards to prevent abuse or unlawful access or transfer;
Rights of the data subject,Restrictions,the specification of the controller or categories of controllers;
Rights of the data subject,Restrictions,"the storage periods and the applicable safeguards taking into account the nature, scope and purposes of the processing or categories of processing;"
Rights of the data subject,Restrictions,the risks to the rights and freedoms of data subjects; and
Rights of the data subject,Restrictions,"the right of data subjects to be informed about the restriction, unless that may be prejudicial to the purpose of the restriction."
Controller and processor,Restrictions,Section 1 General obligations
Controller and processor,Responsibility of the controller,"Taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons, the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation. Those measures shall be reviewed and updated where necessary."
Controller and processor,Responsibility of the controller,"Where proportionate in relation to processing activities, the measures referred to in paragraph 1 shall include the implementation of appropriate data protection policies by the controller."
Controller and processor,Responsibility of the controller,Adherence to approved codes of conduct as referred to in Article 40 or approved certification mechanisms as referred to in Article 42 may be used as an element by which to demonstrate compliance with the obligations of the controller.
Controller and processor,Data protection by design and by default,"Taking into account the state of the art, the cost of implementation and the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for rights and freedoms of natural persons posed by the processing, the controller shall, both at the time of the determination of the means for processing and at the time of the processing itself, implement appropriate technical and organisational measures, such as pseudonymisation, which are designed to implement data-protection principles, such as data minimisation, in an effective manner and to integrate the necessary safeguards into the processing in order to meet the requirements of this Regulation and protect the rights of data subjects."
Controller and processor,Data protection by design and by default,"The controller shall implement appropriate technical and organisational measures for ensuring that, by default, only personal data which are necessary for each specific purpose of the processing are processed. That obligation applies to the amount of personal data collected, the extent of their processing, the period of their storage and their accessibility. In particular, such measures shall ensure that by default personal data are not made accessible without the individual's intervention to an indefinite number of natural persons."
Controller and processor,Data protection by design and by default,An approved certification mechanism pursuant to Article 42 may be used as an element to demonstrate compliance with the requirements set out in paragraphs 1 and 2 of this Article.
Controller and processor,Joint controllers,"Where two or more controllers jointly determine the purposes and means of processing, they shall be joint controllers. They shall in a transparent manner determine their respective responsibilities for compliance with the obligations under this Regulation, in particular as regards the exercising of the rights of the data subject and their respective duties to provide the information referred to in  Articles 13 and 14, by means of an arrangement between them unless, and in so far as, the respective responsibilities of the controllers are determined by Union or Member State law to which the controllers are subject. The arrangement may designate a contact point for data subjects."
Controller and processor,Joint controllers,The arrangement referred to in paragraph 1 shall duly reflect the respective roles and relationships of the joint controllers vis-à-vis the data subjects. The essence of the arrangement shall be made available to the data subject.
Controller and processor,Joint controllers,"Irrespective of the terms of the arrangement referred to in paragraph 1, the data subject may exercise his or her rights under this Regulation in respect of and against each of the controllers."
Controller and processor,Representatives of controllers or processors not established in the Union,"Where Article 3(2) applies, the controller or the processor shall designate in writing a representative in the Union."
Controller and processor,Representatives of controllers or processors not established in the Union,The obligation laid down in paragraph 1 of this Article shall not apply to:
Controller and processor,Representatives of controllers or processors not established in the Union,"processing which is occasional, does not include, on a large scale, processing of special categories of data as referred to in Article 9(1) or processing of personal data relating to criminal convictions and offences referred to in Article 10, and is unlikely to result in a risk to the rights and freedoms of natural persons, taking into account the nature, context, scope and purposes of the processing; or"
Controller and processor,Representatives of controllers or processors not established in the Union,a public authority or body.
Controller and processor,Representatives of controllers or processors not established in the Union,"The representative shall be established in one of the Member States where the data subjects, whose personal data are processed in relation to the offering of goods or services to them, or whose behaviour is monitored, are."
Controller and processor,Representatives of controllers or processors not established in the Union,"The representative shall be mandated by the controller or processor to be addressed in addition to or instead of the controller or the processor by, in particular, supervisory authorities and data subjects, on all issues related to processing, for the purposes of ensuring compliance with this Regulation."
Controller and processor,Representatives of controllers or processors not established in the Union,The designation of a representative by the controller or processor shall be without prejudice to legal actions which could be initiated against the controller or the processor themselves.
Controller and processor,Processor,"Where processing is to be carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that processing will meet the requirements of this Regulation and ensure the protection of the rights of the data subject."
Controller and processor,Processor,"The processor shall not engage another processor without prior specific or general written authorisation of the controller. In the case of general written authorisation, the processor shall inform the controller of any intended changes concerning the addition or replacement of other processors, thereby giving the controller the opportunity to object to such changes."
Controller and processor,Processor,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:"
Controller and processor,Processor,"processes the personal data only on documented instructions from the controller, including with regard to transfers of personal data to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;"
Controller and processor,Processor,ensures that persons authorised to process the personal data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality;
Controller and processor,Processor,takes all measures required pursuant to Article 32;
Controller and processor,Processor,respects the conditions referred to in paragraphs 2 and 4 for engaging another processor;
Controller and processor,Processor,"taking into account the nature of the processing, assists the controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the controller's obligation to respond to requests for exercising the data subject's rights laid down in Chapter III;"
Controller and processor,Processor,assists the controller in ensuring compliance with the obligations pursuant to Articles 32 to 36 taking into account the nature of processing and the information available to the processor;
Controller and processor,Processor,"at the choice of the controller, deletes or returns all the personal data to the controller after the end of the provision of services relating to processing, and deletes existing copies unless Union or Member State law requires storage of the personal data;"
Controller and processor,Processor,"makes available to the controller all information necessary to demonstrate compliance with the obligations laid down in this Article and allow for and contribute to audits, including inspections, conducted by the controller or another auditor mandated by the controller."
Controller and processor,Processor,"With regard to point (h) of the first subparagraph, the processor shall immediately inform the controller if, in its opinion, an instruction infringes this Regulation or other Union or Member State data protection provisions."
Controller and processor,Processor,"Where a processor engages another processor for carrying out specific processing activities on behalf of the controller, the same data protection obligations as set out in the contract or other legal act between the controller and the processor as referred to in paragraph 3 shall be imposed on that other processor by way of a contract or other legal act under Union or Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the processing will meet the requirements of this Regulation. Where that other processor fails to fulfil its data protection obligations, the initial processor shall remain fully liable to the controller for the performance of that other processor's obligations."
Controller and processor,Processor,Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.
Controller and processor,Processor,"Without prejudice to an individual contract between the controller and the processor, the contract or the other legal act referred to in paragraphs 3 and 4 of this Article may be based, in whole or in part, on standard contractual clauses referred to in paragraphs 7 and 8 of this Article, including when they are part of a certification granted to the controller or processor pursuant to Articles 42 and 43."
Controller and processor,Processor,The Commission may lay down standard contractual clauses for the matters referred to in paragraph 3 and 4 of this Article and in accordance with the examination procedure referred to in Article 93(2).
Controller and processor,Processor,A supervisory authority may adopt standard contractual clauses for the matters referred to in paragraph 3 and 4 of this Article and in accordance with the consistency mechanism referred to in Article 63.
Controller and processor,Processor,"The contract or the other legal act referred to in paragraphs 3 and 4 shall be in writing, including in electronic form."
Controller and processor,Processor,"Without prejudice to Articles 82, 83 and 84, if a processor infringes this Regulation by determining the purposes and means of processing, the processor shall be considered to be a controller in respect of that processing."
Controller and processor,Processing under the authority of the controller or processor,"The processor and any person acting under the authority of the controller or of the processor, who has access to personal data, shall not process those data except on instructions from the controller, unless required to do so by Union or Member State law."
Controller and processor,Records of processing activities,"Each controller and, where applicable, the controller's representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:"
Controller and processor,Records of processing activities,"the name and contact details of the controller and, where applicable, the joint controller, the controller's representative and the data protection officer;"
Controller and processor,Records of processing activities,the purposes of the processing;
Controller and processor,Records of processing activities,a description of the categories of data subjects and of the categories of personal data;
Controller and processor,Records of processing activities,the categories of recipients to whom the personal data have been or will be disclosed including recipients in third countries or international organisations;
Controller and processor,Records of processing activities,"where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards;"
Controller and processor,Records of processing activities,"where possible, the envisaged time limits for erasure of the different categories of data;"
Controller and processor,Records of processing activities,"where possible, a general description of the technical and organisational security measures referred to in Article 32(1)."
Controller and processor,Records of processing activities,"Each processor and, where applicable, the processor's representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing:"
Controller and processor,Records of processing activities,"the name and contact details of the processor or processors and of each controller on behalf of which the processor is acting, and, where applicable, of the controller's or the processor's representative, and the data protection officer;"
Controller and processor,Records of processing activities,the categories of processing carried out on behalf of each controller;
Controller and processor,Records of processing activities,"where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards;"
Controller and processor,Records of processing activities,"where possible, a general description of the technical and organisational security measures referred to in Article 32(1)."
Controller and processor,Records of processing activities,"The records referred to in paragraphs 1 and 2 shall be in writing, including in electronic form."
Controller and processor,Records of processing activities,"The controller or the processor and, where applicable, the controller's or the processor's representative, shall make the record available to the supervisory authority on request."
Controller and processor,Records of processing activities,"The obligations referred to in paragraphs 1 and 2 shall not apply to an enterprise or an organisation employing fewer than 250 persons unless the processing it carries out is likely to result in a risk to the rights and freedoms of data subjects, the processing is not occasional, or the processing includes special categories of data as referred to in Article 9(1) or personal data relating to criminal convictions and offences referred to in Article 10."
Controller and processor,Cooperation with the supervisory authority,"The controller and the processor and, where applicable, their representatives, shall cooperate, on request, with the supervisory authority in the performance of its tasks."
Controller and processor,Cooperation with the supervisory authority,Section 2 Security of personal data
Controller and processor,Security of processing,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:"
Controller and processor,Security of processing,the pseudonymisation and encryption of personal data;
Controller and processor,Security of processing,"the ability to ensure the ongoing confidentiality, integrity, availability and resilience of processing systems and services;"
Controller and processor,Security of processing,the ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident;
Controller and processor,Security of processing,"a process for regularly testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the processing."
Controller and processor,Security of processing,"In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to personal data transmitted, stored or otherwise processed."
Controller and processor,Security of processing,Adherence to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate compliance with the requirements set out in paragraph 1 of this Article.
Controller and processor,Security of processing,"The controller and processor shall take steps to ensure that any natural person acting under the authority of the controller or the processor who has access to personal data does not process them except on instructions from the controller, unless he or she is required to do so by Union or Member State law."
Controller and processor,Notification of a personal data breach to the supervisory authority,"In the case of a personal data breach, the controller shall without undue delay and, where feasible, not later than 72 hours after having become aware of it, notify the personal data breach to the supervisory authority competent in accordance with Article 55, unless the personal data breach is unlikely to result in a risk to the rights and freedoms of natural persons. Where the notification to the supervisory authority is not made within 72 hours, it shall be accompanied by reasons for the delay."
Controller and processor,Notification of a personal data breach to the supervisory authority,The processor shall notify the controller without undue delay after becoming aware of a personal data breach.
Controller and processor,Notification of a personal data breach to the supervisory authority,The notification referred to in paragraph 1 shall at least:
Controller and processor,Notification of a personal data breach to the supervisory authority,"describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned;"
Controller and processor,Notification of a personal data breach to the supervisory authority,communicate the name and contact details of the data protection officer or other contact point where more information can be obtained;
Controller and processor,Notification of a personal data breach to the supervisory authority,describe the likely consequences of the personal data breach;
Controller and processor,Notification of a personal data breach to the supervisory authority,"describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects."
Controller and processor,Notification of a personal data breach to the supervisory authority,"Where, and in so far as, it is not possible to provide the information at the same time, the information may be provided in phases without undue further delay."
Controller and processor,Notification of a personal data breach to the supervisory authority,"The controller shall document any personal data breaches, comprising the facts relating to the personal data breach, its effects and the remedial action taken. That documentation shall enable the supervisory authority to verify compliance with this Article."
Controller and processor,Communication of a personal data breach to the data subject,"When the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without undue delay."
Controller and processor,Communication of a personal data breach to the data subject,"The communication to the data subject referred to in paragraph 1 of this Article shall describe in clear and plain language the nature of the personal data breach and contain at least the information and measures referred to in points (b), (c) and (d) of Article 33(3)."
Controller and processor,Communication of a personal data breach to the data subject,The communication to the data subject referred to in paragraph 1 shall not be required if any of the following conditions are met:
Controller and processor,Communication of a personal data breach to the data subject,"the controller has implemented appropriate technical and organisational protection measures, and those measures were applied to the personal data affected by the personal data breach, in particular those that render the personal data unintelligible to any person who is not authorised to access it, such as encryption;"
Controller and processor,Communication of a personal data breach to the data subject,the controller has taken subsequent measures which ensure that the high risk to the rights and freedoms of data subjects referred to in paragraph 1 is no longer likely to materialise;
Controller and processor,Communication of a personal data breach to the data subject,"it would involve disproportionate effort. In such a case, there shall instead be a public communication or similar measure whereby the data subjects are informed in an equally effective manner."
Controller and processor,Communication of a personal data breach to the data subject,"If the controller has not already communicated the personal data breach to the data subject, the supervisory authority, having considered the likelihood of the personal data breach resulting in a high risk, may require it to do so or may decide that any of the conditions referred to in paragraph 3 are met."
Controller and processor,Communication of a personal data breach to the data subject,Section 3
Controller and processor,Communication of a personal data breach to the data subject,Data protection impact assessment and prior consultation
Controller and processor,Data protection impact assessment,"Where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data. A single assessment may address a set of similar processing operations that present similar high risks."
Controller and processor,Data protection impact assessment,"The controller shall seek the advice of the data protection officer, where designated, when carrying out a data protection impact assessment."
Controller and processor,Data protection impact assessment,A data protection impact assessment referred to in paragraph 1 shall in particular be required in the case of:
Controller and processor,Data protection impact assessment,"a systematic and extensive evaluation of personal aspects relating to natural persons which is based on automated processing, including profiling, and on which decisions are based that produce legal effects concerning the natural person or similarly significantly affect the natural person;"
Controller and processor,Data protection impact assessment,"processing on a large scale of special categories of data referred to in Article 9(1), or of personal data relating to criminal convictions and offences referred to in Article 10; or"
Controller and processor,Data protection impact assessment,a systematic monitoring of a publicly accessible area on a large scale.
Controller and processor,Data protection impact assessment,The supervisory authority shall establish and make public a list of the kind of processing operations which are subject to the requirement for a data protection impact assessment pursuant  to paragraph 1. The supervisory authority shall communicate those lists to the Board referred to in Article 68.
Controller and processor,Data protection impact assessment,The supervisory authority may also establish and make public a list of the kind of processing operations for which no data protection impact assessment is required. The supervisory authority shall communicate those lists to the Board.
Controller and processor,Data protection impact assessment,"Prior to the adoption of the lists referred to in paragraphs 4 and 5, the competent supervisory authority shall apply the consistency mechanism referred to in Article 63 where such lists involve processing activities which are related to the offering of goods or services to data subjects or to the monitoring of their behaviour in several Member States, or may substantially affect the free movement of personal data within the Union."
Controller and processor,Data protection impact assessment,The assessment shall contain at least:
Controller and processor,Data protection impact assessment,"a systematic description of the envisaged processing operations and the purposes of the processing, including, where applicable, the legitimate interest pursued by the controller;"
