chapter,section,article,recital
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:","– the type and duration of the processing, being observed commercial and industrial secrecy;"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:",– identification of the controller;
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:",– the controller’s contact information;
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:",– information regarding the shared use of data by the controller and the purpose; VI – responsibilities of the agents that will carry out the processing; and
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:","VII – the data subject’s rights, with explicit mention of the rights provided in Art. 18 of this Law."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:","§1 In situations where consent is required, it shall be considered void if the information provided to the data subject contains misleading or abusive content or was not previously presented in a transparent, clear and unambiguous way."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:","§2 In the situation when consent is required, if there are changes in the purpose of the processing of personal data that are not compatible with the original consent, the controller shall previously inform the data subject of the changes of purpose, and the data subject may revoke her/his consent if she/he disagrees with the changes."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:","§3 When the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in Art. 18 of this Law."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 10. Controller’s legitimate interest can only be grounds for processing personal data for legitimate purposes, based on particular situations, which include but are not limited to:",– support and promotion of the controller’s activity; and
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 10. Controller’s legitimate interest can only be grounds for processing personal data for legitimate purposes, based on particular situations, which include but are not limited to:","– protection of data subject’s regular exercise of her/his rights or provision of services that benefit her/him, subject to her/his legitimate expectations and fundamental rights and freedoms, in accordance with this Law."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 10. Controller’s legitimate interest can only be grounds for processing personal data for legitimate purposes, based on particular situations, which include but are not limited to:","§1 When processing is based on the controller’s legitimate interest, only the personal data which are strictly necessary for the intended purpose may be processed."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 10. Controller’s legitimate interest can only be grounds for processing personal data for legitimate purposes, based on particular situations, which include but are not limited to:",§2 The controller shall adopt measures to ensure transparency of data processing based on her/his legitimate interests.
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 10. Controller’s legitimate interest can only be grounds for processing personal data for legitimate purposes, based on particular situations, which include but are not limited to:","§3 The national authority may request of the controller a data protection impact assessment, when processing is based on her/his legitimate interest, being observed commercial and industrial secrecy."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"– when the data subject or her/his legal representative specifically and distinctly consents, for the specific purposes;"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"– without consent from the data subject, in the situations when it is indispensable"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,for:
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,controller’s compliance with a legal or regulatory obligation;
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,shared processing of data when necessary by the public administration for the execution of public policies provided in laws or regulations;
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"studies carried out by a research entity, whenever possible ensuring the anonymization of sensitive personal data;"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"the regular exercise of rights, including in a contract and in a judicial, administrative and arbitration procedure, the last in accordance with the terms of Law No. 9,307, of September 23, 1996 (the “Brazilian Arbitration Law”);"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,protecting life or physical safety of the data subject or a third party;
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"the protection of health, in a procedure carried out by health professionals or by health entities; or"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"to protect the health, exclusively, in a procedure carried out by health professionals, health services or sanitary authorities; (New Wording Given by Law No. 13,853/2019)"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"ensuring the prevention of fraud and the safety of the data subject, in processes of identification and authentication of registration in electronic systems, respecting the rights mentioned in Art. 9 of this Law and except when fundamental rights and liberties of the data subject which require protection of personal data prevail."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"§1 The provisions of this article apply to any processing of personal data that reveals sensitive personal data and that may cause harm to the data subject, subject to the provisions of specific legislation."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"§2 When the provisions of lines a and b of item II of the lead sentence of this article are applied by public agencies and entities, said waiver of consent shall be publicized, pursuant to item I of the lead sentence of Art. 23 of this Law."
